commodity_id,date,min_wholesale_price,max_wholesale_price,unit
1,2013-01-08,10787.0,10787.0,100 Liters
4,2013-01-08,5325.0,5325.0,Quintal
3,2013-01-08,5000.0,5000.0,100 Liters
5,2013-01-08,1200.0,1200.0,Quintal
1,2013-04-08,10802.0,10802.0,100 Liters
4,2013-04-08,5158.0,5158.0,Quintal
3,2013-04-08,5000.0,5000.0,100 Liters
5,2013-04-08,1293.0,1293.0,Quintal
1,2013-05-08,10810.0,10810.0,100 Liters
4,2013-05-08,5517.0,5517.0,Quintal
3,2013-05-08,5000.0,5000.0,100 Liters
5,2013-05-08,1293.0,1293.0,Quintal
1,2013-06-08,10500.0,10500.0,100 Liters
4,2013-06-08,5500.0,5500.0,Quintal
6,2013-07-08,2176.0,2176.0,Quintal
1,2013-07-08,10725.0,10725.0,100 Liters
4,2013-07-08,5033.0,5033.0,Quintal
3,2013-07-08,5400.0,5400.0,100 Liters
5,2013-07-08,1527.0,1527.0,Quintal
1,2013-11-08,10726.0,10726.0,100 Liters
4,2013-11-08,5609.0,5609.0,Quintal
3,2013-11-08,5000.0,5000.0,100 Liters
5,2013-11-08,1293.0,1293.0,Quintal
1,2013-12-08,10717.0,10717.0,100 Liters
4,2013-12-08,5491.0,5491.0,Quintal
3,2013-12-08,5000.0,5000.0,100 Liters
5,2013-12-08,1293.0,1293.0,Quintal
1,2013-08-13,10717.0,10717.0,100 Liters
4,2013-08-13,5400.0,5400.0,Quintal
3,2013-08-13,5000.0,5000.0,100 Liters
5,2013-08-13,1525.0,1525.0,Quintal
6,2013-08-14,2218.0,2218.0,Quintal
1,2013-08-14,10688.0,10688.0,100 Liters
4,2013-08-14,5671.0,5671.0,Quintal
3,2013-08-14,5400.0,5400.0,100 Liters
5,2013-08-14,1577.0,1577.0,Quintal
1,2013-08-18,10907.0,10907.0,100 Liters
4,2013-08-18,5209.0,5209.0,Quintal
3,2013-08-18,5000.0,5000.0,100 Liters
5,2013-08-18,1625.0,1625.0,Quintal
1,2013-08-19,10958.0,10958.0,100 Liters
4,2013-08-19,4830.0,4830.0,Quintal
3,2013-08-19,5000.0,5000.0,100 Liters
5,2013-08-19,1433.0,1433.0,Quintal
1,2013-08-20,10641.0,10641.0,100 Liters
4,2013-08-20,5418.0,5418.0,Quintal
3,2013-08-20,5000.0,5000.0,100 Liters
5,2013-08-20,1625.0,1625.0,Quintal
6,2013-08-21,2263.0,2263.0,Quintal
