date,Boro-Fine_min_wholesale_price,Boro-Fine_max_wholesale_price,Boro-Fine_unit,Soybean Oil(loose)_min_wholesale_price,Soybean Oil(loose)_max_wholesale_price,Soybean Oil(loose)_unit,Green Chili (Local)_min_wholesale_price,Green Chili (Local)_max_wholesale_price,Green Chili (Local)_unit,Cow Milk (liquid)_min_wholesale_price,Cow Milk (liquid)_max_wholesale_price,Cow Milk (liquid)_unit,Egg Farm-Red_min_wholesale_price,Egg Farm-Red_max_wholesale_price,Egg Farm-Red_unit,Potato (Local) - Old_min_wholesale_price,Potato (Local) - Old_max_wholesale_price,Potato (Local) - Old_unit
2013-05-13,,,,,,,3000.0,3000.0,Quintal,,,,750.0,750.0,100 pieces,,,
2013-05-14,,,,,,,3200.0,3200.0,Quintal,,,,750.0,750.0,100 pieces,,,
2013-05-15,1818.0,1818.0,Quintal,11129.0,11129.0,100 Liters,2540.0,2540.0,Quintal,4833.0,4833.0,100 Liters,816.0,816.0,100 pieces,1458.0,1458.0,Quintal
2013-05-21,,,,10400.0,10400.0,100 Liters,2500.0,2500.0,Quintal,,,,720.0,720.0,100 pieces,,,
2013-05-22,1840.0,1840.0,Quintal,11056.0,11056.0,100 Liters,2423.0,2423.0,Quintal,5500.0,5500.0,100 Liters,797.0,797.0,100 pieces,1467.0,1467.0,Quintal
2013-05-26,,,,10400.0,10400.0,100 Liters,2800.0,2800.0,Quintal,,,,720.0,720.0,100 pieces,,,
2013-05-29,1713.0,1713.0,Quintal,11231.0,11231.0,100 Liters,2610.0,2610.0,Quintal,5500.0,5500.0,100 Liters,798.0,798.0,100 pieces,1513.0,1513.0,Quintal
2013-06-02,,,,10370.0,10370.0,100 Liters,2650.0,2650.0,Quintal,,,,778.0,778.0,100 pieces,,,
2013-06-03,,,,10643.0,10643.0,100 Liters,2767.0,2767.0,Quintal,,,,778.0,778.0,100 pieces,,,
2013-06-04,,,,10645.0,10645.0,100 Liters,2833.0,2833.0,Quintal,,,,778.0,778.0,100 pieces,,,
2013-06-05,1870.0,1870.0,Quintal,11252.0,11252.0,100 Liters,2600.0,2600.0,Quintal,5340.0,5340.0,100 Liters,750.0,750.0,100 pieces,1625.0,1625.0,Quintal
2013-06-06,1860.0,1860.0,Quintal,11179.0,11179.0,100 Liters,2188.0,2188.0,Quintal,5500.0,5500.0,100 Liters,769.0,769.0,100 pieces,1200.0,1200.0,Quintal
2013-06-09,,,,11111.0,11111.0,100 Liters,2657.0,2657.0,Quintal,5500.0,5500.0,100 Liters,763.0,763.0,100 pieces,1250.0,1250.0,Quintal
2013-06-10,,,,11111.0,11111.0,100 Liters,2443.0,2443.0,Quintal,5500.0,5500.0,100 Liters,757.0,757.0,100 pieces,1250.0,1250.0,Quintal
2013-06-11,,,,11566.0,11566.0,100 Liters,2900.0,2900.0,Quintal,5000.0,5000.0,100 Liters,773.0,773.0,100 pieces,1250.0,1250.0,Quintal
2013-06-12,1859.0,1859.0,Quintal,11122.0,11122.0,100 Liters,2459.0,2459.0,Quintal,5125.0,5125.0,100 Liters,744.0,744.0,100 pieces,1506.0,1506.0,Quintal
2013-06-13,,,,11475.0,11475.0,100 Liters,3100.0,3100.0,Quintal,5000.0,5000.0,100 Liters,787.0,787.0,100 pieces,1250.0,1250.0,Quintal
2013-06-16,1875.0,1875.0,Quintal,11416.0,11416.0,100 Liters,3033.0,3033.0,Quintal,4750.0,4750.0,100 Liters,773.0,773.0,100 pieces,1125.0,1125.0,Quintal
2013-06-17,,,,11530.0,11530.0,100 Liters,3100.0,3100.0,Quintal,5000.0,5000.0,100 Liters,783.0,783.0,100 pieces,1150.0,1150.0,Quintal
2013-06-18,,,,11655.0,11655.0,100 Liters,3100.0,3100.0,Quintal,5000.0,5000.0,100 Liters,787.0,787.0,100 pieces,1150.0,1150.0,Quintal
2013-06-19,2022.0,2022.0,Quintal,11087.0,11087.0,100 Liters,2479.0,2479.0,Quintal,5167.0,5167.0,100 Liters,749.0,749.0,100 pieces,1455.0,1455.0,Quintal
2013-06-20,,,,11843.0,11843.0,100 Liters,2967.0,2967.0,Quintal,5000.0,5000.0,100 Liters,744.0,744.0,100 pieces,,,
